OID_;region;FIRST_continent;Shape_Length;Shape_Area;Emigrants
1; ;Antarctica;20,333322459448119;1,499775339384096;
2; Australia and New Zealand;Australia and Oceania;332,757017975126587;724,718661585663199;385150
3; Caribbean;Americas;118,151972656058859;19,918913892425898;897423
4; Central America;Americas;204,381430149646320;217,297970622891484;397199
5; Central Asia;Asia;1510,921689556159890;3416,614383758364056;8273134
6; Eastern Africa;Africa;225,481463833987362;529,814827186157117;1851299
7; Eastern Asia;Asia;462,428000232067575;1224,193205363301558;1658326
8; Middle Africa;Africa;196,634705494171186;592,348389544644306;902114
9; Northern Africa;Africa;206,053488644868224;686,236531211589750;5896477
10; Northern America;Americas;3693,102741851908377;3471,619236951412859;1114919
11; South-Eastern Asia;Asia;729,226595362512626;369,445867291275192;1915855
12; South America;Americas;623,141704272791799;1539,329644320206171;407729
13; Southern Africa;Africa;69,496736982212070;240,481522947954545;374667
14; Southern Asia;Asia;259,285936793463918;595,134555840197208;4511857
15; Western Africa;Africa;154,636360999383868;509,398538655385266;1827456
16;Middle East;Asia;201,713061327284493;428,172074987578355;6124988
17;Europe;Europe;1188,928109271563244;811,006457752122856;
18;Oceania;Australia and Oceania;179,758913545249385;44,910745955280497;13480
